User Name,Recency,Frequency,Monetary,Cluster,Segment
abheaton,167,1,500.0,1,Medium Value
abhentges,335,1,0.0,0,Low Value
abhepp,167,4,8000.0,1,Medium Value
abhetrick,280,1,99.9,0,Low Value
abhewes,245,4,464.6,0,Low Value
abhock,97,2,2784.2,1,Medium Value
abhorne,278,3,1589.9,0,Low Value
abhubler,59,1,347.1,1,Medium Value
abhuguley,285,1,144.8,0,Low Value
abhults,279,1,99.9,0,Low Value
abhupp,8,2,509.6,1,Medium Value
abhutzler,188,1,2099.4,1,Medium Value
abicenhour,290,1,137.2,0,Low Value
abishmael,50,2,7980.0,1,Medium Value
abjacobsen,155,1,250.0,1,Medium Value
abjustice,153,10,4200.0,1,Medium Value
abkaram,43,91,44187.274,1,Medium Value
abkauffman,259,2,84.0,0,Low Value
abkorando,167,4,4800.0,1,Medium Value
abkroll,254,1,109.9,0,Low Value
ablansford,83,1,49.9,1,Medium Value
ablennon,329,1,216.0,0,Low Value
ablew,195,3,700.0,1,Medium Value
ablipinski,274,4,697.1,0,Low Value
abma,348,1,2386.6,0,Low Value
abmalmberg,278,1,183.0,0,Low Value
abmao,288,2,139.8,0,Low Value
abmarquart,147,2,207.2,1,Medium Value
abmartindale,101,1,7599.9,1,Medium Value
abmatsumoto,25,3,448.0,1,Medium Value
abmauricio,183,1,52.0,1,Medium Value
abmaxim,100,1,139.9,1,Medium Value
abmccarroll,185,2,1144.6,1,Medium Value
abmcginley,241,1,1074.5,0,Low Value
abmcgrath,84,1,23.7,1,Medium Value
abmclane,195,5,2800.0,1,Medium Value
abmcmillan,187,1,72.0,1,Medium Value
abmellor,194,5,900.0,1,Medium Value
abmerwin,291,4,0.0,0,Low Value
abmessier,170,1,75.0,1,Medium Value
abmozee,176,1,104.0,1,Medium Value
abmullane,116,2,905.0,1,Medium Value
abnam,122,1,141.2,1,Medium Value
abnewberg,167,1,4800.0,1,Medium Value
abnorcross,276,1,697.12,0,Low Value
abogden,285,1,123.12,0,Low Value
aboldfield,253,8,4742.0,0,Low Value
abpadilla,282,1,44.9,0,Low Value
abpalmquist,153,2,300.0,1,Medium Value
abpardo,148,1,60.0,1,Medium Value
abparkman,276,8,9206.52,0,Low Value
abpeet,108,1,149.9,1,Medium Value
abpeyton,284,2,792.54,0,Low Value
abquirion,278,1,227.9,0,Low Value
abraffa,155,1,500.0,1,Medium Value
abraskin,264,6,4979.9,0,Low Value
abraub,244,1,1082.5,0,Low Value
abraulston,195,1,500.0,1,Medium Value
abrawlins,155,4,18250.0,1,Medium Value
abreichel,154,1,200.0,1,Medium Value
abreilly,157,1,291.6,1,Medium Value
abrey,281,1,19.8,0,Low Value
abriordan,49,5,5313.3550000000005,1,Medium Value
abrocheleau,360,1,239.8,0,Low Value
abrogge,155,1,39.0,1,Medium Value
abroos,279,1,0.0,0,Low Value
abrubin,284,1,2495.7,0,Low Value
abryland,178,1,124.95,1,Medium Value
absabella,154,2,200.0,1,Medium Value
absalcedo,284,2,199.60000000000002,0,Low Value
absalvatore,321,13,369.0,0,Low Value
absalzer,328,1,264.87,0,Low Value
absaragosa,102,4,0.0,1,Medium Value
absargent,155,2,1072.0,1,Medium Value
absauve,107,1,0.0,1,Medium Value
abscala,184,1,119.9,1,Medium Value
abschaper,70,1,9706.0,1,Medium Value
abschmaltz,125,2,349.4,1,Medium Value
absepe,167,1,1600.0,1,Medium Value
abshirk,106,5,4665.875,1,Medium Value
abshoe,101,1,259.9,1,Medium Value
abshowers,111,2,399.8,1,Medium Value
absias,112,2,14.099999999999998,1,Medium Value
abskeete,112,4,610.269,1,Medium Value
abskidmore,323,2,2939.58,0,Low Value
absolomon,217,1,168.725,0,Low Value
abstearns,277,1,1998.4,0,Low Value
absteel,46,1,240.1,1,Medium Value
absummers,278,2,1299.2,0,Low Value
abteal,47,1,23.0,1,Medium Value
abtemples,184,1,300.0,1,Medium Value
abtieman,14,1,24.5,1,Medium Value
abtran,278,1,239.074,0,Low Value
abvaldes,99,2,269.70000000000005,1,Medium Value
abvalentine,323,1,2412.5,0,Low Value
abvegas,283,1,843.2,0,Low Value
abvue,108,1,52.5,1,Medium Value
abwedgeworth,281,1,129.9,0,Low Value
abweiland,187,1,39.9,1,Medium Value
abwetmore,316,1,300.0,0,Low Value
abwittman,337,4,841.6,0,Low Value
abwolter,12,12,31418.16,1,Medium Value
abyearwood,181,1,109.3,1,Medium Value
abyork,154,1,1000.0,1,Medium Value
acaddis,117,1,236.8,1,Medium Value
acahearn,133,1,191.60000000000002,1,Medium Value
acaverill,284,6,2329.3,0,Low Value
acbarrientos,155,1,250.0,1,Medium Value
acbarroso,337,1,47.0,0,Low Value
acbehan,285,1,59.9,0,Low Value
acberkeley,275,2,1053.18,0,Low Value
acbettis,200,1,148.0,1,Medium Value
acbivens,172,1,3000.0,1,Medium Value
acbordeaux,83,1,58.2,1,Medium Value
acbowes,280,3,1411.368,0,Low Value
acbrandl,139,1,5463.5,1,Medium Value
acbricker,186,2,3200.0,1,Medium Value
acbrinton,184,3,8257.5,1,Medium Value
acbrogan,240,4,0.0,0,Low Value
acbucci,219,3,2510.0,0,Low Value
acbuckler,278,1,281.2,0,Low Value
accaldera,158,1,1250.0,1,Medium Value
accard,89,1,462.4,1,Medium Value
accarini,154,2,300.0,1,Medium Value
accarranza,284,4,2608.2,0,Low Value
accarrizales,69,1,90.8,1,Medium Value
accarswell,285,1,125.82,0,Low Value
accauley,284,1,0.0,0,Low Value
acchambliss,12,1,761.2750000000001,1,Medium Value
acchurch,38,2,4356.8,1,Medium Value
acclose,62,1,199.9,1,Medium Value
acconcannon,277,2,360.4,0,Low Value
accorona,36,1,42.0,1,Medium Value
accouture,161,2,1999.8,1,Medium Value
accrissman,280,2,627.2,0,Low Value
accumbie,92,3,679.9,1,Medium Value
acdalrymple,187,3,0.0,1,Medium Value
acdambrosio,335,1,2867.0,0,Low Value
acdantonio,6,2,1099.3,1,Medium Value
acdarnell,18,8,22843.600000000002,1,Medium Value
acdewall,259,1,119.80000000000001,0,Low Value
acdryden,285,1,48.1,0,Low Value
acdugas,114,3,404.22,1,Medium Value
acdunkin,251,4,917.4,0,Low Value
aceastman,285,3,396.48,0,Low Value
acerikson,294,1,49.8,0,Low Value
aceuler,193,1,1200.0,1,Medium Value
acfarias,154,1,500.0,1,Medium Value
acfeliciano,57,1,99.9,1,Medium Value
acfifer,344,2,5449.799999999999,0,Low Value
acfludd,148,1,110.0,1,Medium Value
acfrates,232,1,5.2,0,Low Value
acfutrell,83,1,1886.9,1,Medium Value
acgilchrist,281,4,9478.4,0,Low Value
acgruber,138,1,1579.9,1,Medium Value
acguzzi,277,1,68.0,0,Low Value
achairston,191,2,5155.2,1,Medium Value
achalsted,103,2,1459.2,1,Medium Value
achamrick,105,1,387.6,1,Medium Value
achaner,253,1,98.4,0,Low Value
achaskell,234,7,1122.1,0,Low Value
acheberling,195,1,1600.0,1,Medium Value
achershey,140,3,121.22999999999999,1,Medium Value
achiga,56,4,11770.8,1,Medium Value
achiller,349,4,370.0,0,Low Value
achodgin,153,4,3093.6,1,Medium Value
acholte,276,2,4267.6,0,Low Value
achoude,315,1,300.0,0,Low Value
achuhn,32,9,8934.01,1,Medium Value
aciddings,284,4,4788.0,0,Low Value
acingersoll,278,9,40395.06,0,Low Value
acjackson,155,1,300.0,1,Medium Value
acjan,311,1,64.9,0,Low Value
acjudkins,280,1,144.8,0,Low Value
ackoehler,277,1,793.0,0,Low Value
ackropp,285,1,3149.9,0,Low Value
ackrull,43,58,57402.937,1,Medium Value
aclabadie,285,1,49.9,0,Low Value
aclabonte,184,1,4064.0,1,Medium Value
aclafollette,167,1,4800.0,1,Medium Value
aclamson,285,1,64.9,0,Low Value
aclarocca,167,4,3590.1,1,Medium Value
aclaster,214,1,1132.85,0,Low Value
aclathan,280,3,1499.8,0,Low Value
acleos,184,2,223.0,1,Medium Value
aclindahl,285,1,27.5,0,Low Value
aclipe,154,3,600.0,1,Medium Value
aclowrie,183,2,3495.03,1,Medium Value
aclyles,98,5,17862.8,1,Medium Value
acmacias,15,1,1886.9,1,Medium Value
acmadore,67,2,638.5,1,Medium Value
acmao,144,5,5028.0,1,Medium Value
acmatos,192,1,72.0,1,Medium Value
acmaudlin,154,4,4000.0,1,Medium Value
acmcclendon,16,1,440.0,1,Medium Value
acmckeen,353,1,55.0,0,Low Value
acmckinstry,82,3,287.9,1,Medium Value
acmcmillon,127,5,1137.95,1,Medium Value
acmcrae,110,1,97.4,1,Medium Value
acmcshane,271,11,3087.795,0,Low Value
acmetoyer,274,6,2684.2250000000004,0,Low Value
acmilliman,321,4,7327.700000000001,0,Low Value
acmireles,117,1,133.5,1,Medium Value
acmoldenhauer,17,1,87.4,1,Medium Value
acmuth,280,2,321.21,0,Low Value
acnappi,158,12,7822.8479800000005,1,Medium Value
acnatali,153,1,50.0,1,Medium Value
acnawrocki,156,1,200.0,1,Medium Value
acneeley,328,1,115.0,0,Low Value
acnesler,55,1,514.1,1,Medium Value
acnichol,278,1,2369.9,0,Low Value
acotten,190,1,6985.0,1,Medium Value
acoverstreet,285,1,523.997,0,Low Value
acoviedo,278,6,10119.44,0,Low Value
acpang,154,2,300.0,1,Medium Value
acpappas,117,5,1553.8999999999999,1,Medium Value
acparkhurst,15,1,707.76,1,Medium Value
acparman,29,3,226.3,1,Medium Value
acpartridge,159,1,2864.5,1,Medium Value
acpasco,91,2,62.94499999999999,1,Medium Value
acpenning,133,1,209.9,1,Medium Value
acpeterman,315,2,900.0,0,Low Value
acpetrey,208,1,299.4,0,Low Value
acphillippi,278,4,762.48,0,Low Value
acpick,208,1,1489.9,0,Low Value
acpomerleau,278,1,145.0,0,Low Value
acpouncy,291,1,6350.0,0,Low Value
acprall,177,1,1000.0,1,Medium Value
acpresnell,278,3,12674.8,0,Low Value
acputnam,87,1,399.8,1,Medium Value
acpyne,55,1,519.9,1,Medium Value
acratliff,13,17,5015.89,1,Medium Value
acrigby,281,1,111.9,0,Low Value
acros,281,2,1197.0,0,Low Value
acrose,215,1,940.0,0,Low Value
acroth,155,1,200.0,1,Medium Value
acruyle,283,1,42.415,0,Low Value
acsammons,81,10,2500.23,1,Medium Value
acsanon,274,5,10008.359999999999,0,Low Value
acsather,262,3,4554.8,0,Low Value
acschiefelbein,237,1,14.8,0,Low Value
acschilling,194,1,200.0,1,Medium Value
acschuster,155,10,2750.0,1,Medium Value
acsera,119,13,40090.3,1,Medium Value
acsharper,112,1,0.0,1,Medium Value
acsilvester,277,2,591.84,0,Low Value
acsletten,154,1,250.0,1,Medium Value
acsolt,278,4,4571.28,0,Low Value
acstallard,165,1,129.0,1,Medium Value
acstalnaker,183,2,2114.4,1,Medium Value
acstephan,56,10,7013.599999999999,1,Medium Value
acstillwell,183,4,9237.2,1,Medium Value
acstorms,124,11,2424.8,1,Medium Value
acstudebaker,14,3,4619.700000000001,1,Medium Value
acswiderski,118,2,779.8,1,Medium Value
acszabo,271,3,1510.4,0,Low Value
actadlock,156,1,200.0,1,Medium Value
actalbert,5,1,79.6,1,Medium Value
actaranto,19,1,200.0,1,Medium Value
actardiff,323,3,5731.79,0,Low Value
actaunton,100,4,803.52,1,Medium Value
actesch,54,1,1908.0,1,Medium Value
acthrailkill,133,1,59.5,1,Medium Value
acthroop,323,1,2214.5,0,Low Value
actims,281,4,693.45,0,Low Value
actolan,204,1,281.1,0,Low Value
acunderwood,158,7,8634.14,1,Medium Value
acvoorhies,282,1,0.0,0,Low Value
acwallin,284,2,116.82,0,Low Value
acwessel,169,1,400.0,1,Medium Value
acwhitesel,155,1,500.0,1,Medium Value
acwillie,155,6,4377.125,1,Medium Value
acwirtz,279,1,426.72,0,Low Value
acwolff,96,1,199.9,1,Medium Value
acwolfson,149,2,224.3,1,Medium Value
acwomack,58,1,99.9,1,Medium Value
acwynne,62,1,70.4,1,Medium Value
aczabel,94,7,5270.415,1,Medium Value
adalatorre,13,2,137.9,1,Medium Value
adalongi,279,1,5894.7,0,Low Value
adalvord,323,1,2199.9,0,Low Value
adannunziata,341,1,177.4,0,Low Value
adarnett,283,1,106.69999999999999,0,Low Value
adashburn,299,1,39.9,0,Low Value
adbanh,167,8,63533.816,1,Medium Value
adbarba,220,1,5720.0,0,Low Value
adbarnwell,70,1,39.8,1,Medium Value
adbasnight,278,7,248.9,0,Low Value
adbeals,92,1,1521.0,1,Medium Value
adbearce,283,2,2080.0,0,Low Value
adbedgood,33,1,968.0,1,Medium Value
adbenz,178,1,104.0,1,Medium Value
adbest,281,1,44.9,0,Low Value
adblanche,284,8,9468.0,0,Low Value
adboan,179,1,150.0,1,Medium Value
adboling,141,2,321.23,1,Medium Value
adbollinger,278,5,1980.0,0,Low Value
adbonner,170,4,10424.0,1,Medium Value
adboser,278,1,462.5,0,Low Value
adbrackman,16,2,2119.4,1,Medium Value
adbraggs,233,2,363.09999999999997,0,Low Value
adbruder,155,3,1100.0,1,Medium Value
adbuck,274,4,3854.0,0,Low Value
adburge,154,2,100.0,1,Medium Value
adbuzard,11,1,127.09,1,Medium Value
adbyard,170,3,1215.8600000000001,1,Medium Value
adcarstens,154,1,200.0,1,Medium Value
adcasteel,126,8,8878.74,1,Medium Value
adchappelle,177,1,204.0,1,Medium Value
adchidester,155,1,50.0,1,Medium Value
adcofield,285,3,644.5,0,Low Value
adconners,167,2,4000.0,1,Medium Value
adcorry,70,1,0.0,1,Medium Value
adcotten,285,1,450.0,0,Low Value
adcoulson,280,1,116.91,0,Low Value
adculp,88,3,502.20000000000005,1,Medium Value
addelafuente,273,1,5479.2,0,Low Value
addelao,34,1,3449.9,1,Medium Value
addelia,52,1,40.0,1,Medium Value
addeloatch,278,1,29.9,0,Low Value
addelrosario,141,1,99.9,1,Medium Value
addemar,261,5,5318.6,0,Low Value
addennis,168,4,6133.41,1,Medium Value
adderamus,282,1,59.9,0,Low Value
addragon,167,1,1600.0,1,Medium Value
addrayton,207,1,329.5,0,Low Value
addrennon,275,4,24716.8,0,Low Value
addummer,15,22,24686.774,1,Medium Value
addunavant,72,2,330.71999999999997,1,Medium Value
addunne,15,46,152559.3,1,Medium Value
adearl,278,1,161.76000000000002,0,Low Value
adeckhoff,274,4,346.43,0,Low Value
adeckman,250,1,18.4,0,Low Value
adeells,278,1,570.0,0,Low Value
adeller,88,2,239.7,1,Medium Value
adepley,154,3,400.0,1,Medium Value
adeudy,136,8,25566.7,1,Medium Value
adfray,285,1,49.9,0,Low Value
adgarney,282,2,15.0,0,Low Value
adgaston,277,2,3977.8,0,Low Value
adgholson,142,4,98.6,1,Medium Value
adgilland,207,2,11250.0,0,Low Value
adgoodale,167,2,3200.0,1,Medium Value
adgrindle,265,2,2529.9,0,Low Value
adgurrola,178,1,247.0,1,Medium Value
adhadsell,324,1,33.0,0,Low Value
adhales,285,1,487.59000000000003,0,Low Value
adhalvorsen,280,1,701.28,0,Low Value
adhammack,231,1,260.9,0,Low Value
adhartz,262,2,95.0,0,Low Value
adhawker,187,11,16939.64,1,Medium Value
adhazelip,114,1,74.9,1,Medium Value
adhazeltine,275,5,5247.0,0,Low Value
adheinen,44,4,369.40000000000003,1,Medium Value
adhertz,46,21,8506.2,1,Medium Value
adhobbs,283,1,550.0,0,Low Value
adhohl,46,1,109.6,1,Medium Value
adholloway,278,4,7954.64,0,Low Value
adhunsicker,149,1,89.0,1,Medium Value
adjim,278,1,191.0,0,Low Value
adjudd,260,1,49.9,0,Low Value
adkeener,227,1,77.8,0,Low Value
adkeeney,267,8,8982.97,0,Low Value
adkelch,279,2,0.0,0,Low Value
adkerns,289,1,104.9,0,Low Value
adklar,169,11,13205.400000000001,1,Medium Value
adkrupp,230,1,450.8,0,Low Value
adlambright,282,4,1361.76,0,Low Value
adlansberry,277,2,275.675,0,Low Value
adlappin,218,1,145.0,0,Low Value
adlargent,194,8,10600.0,1,Medium Value
adlasher,195,1,500.0,1,Medium Value
adlayman,265,7,680.21,0,Low Value
adleedom,63,6,3541.7709999999997,1,Medium Value
adletellier,285,1,44.9,0,Low Value
adlinden,24,4,740.14,1,Medium Value
adliska,256,2,349.86,0,Low Value
adliu,166,3,3971.733,1,Medium Value
adlongley,139,1,149.5,1,Medium Value
adluczak,61,3,2973.52,1,Medium Value
adluna,134,1,333.3,1,Medium Value
admack,167,1,1600.0,1,Medium Value
admainor,284,2,490.41,0,Low Value
admancini,192,1,124.0,1,Medium Value
admanders,329,2,235.0,0,Low Value
admaney,168,1,720.0,1,Medium Value
admatsuda,284,4,3737.52,0,Low Value
admaxwell,184,2,0.0,1,Medium Value
admccullough,282,1,382.56,0,Low Value
admckinnis,153,5,1800.0,1,Medium Value
admclelland,315,9,4500.0,0,Low Value
admeinhardt,26,2,110.5,1,Medium Value
admelchior,280,1,2049.83,0,Low Value
admontana,298,3,4367.5,0,Low Value
admorelli,280,1,96.48,0,Low Value
admott,276,11,1456.88,0,Low Value
admuniz,135,3,8979.2,1,Medium Value
admurtha,283,1,234.8,0,Low Value
adoberg,280,1,1064.52,0,Low Value
adoswald,252,1,139.50300000000001,0,Low Value
adpaolini,161,1,104.0,1,Medium Value
adparisien,285,1,69.9,0,Low Value
adparramore,323,2,1800.0,0,Low Value
